time,default.BouncingBall.time,default.BouncingBall.h,default.BouncingBall.der(h),default.BouncingBall.v,default.BouncingBall.der(v),default.BouncingBall.v_min,default.BouncingBall.g,default.BouncingBall.e
1.3919999999999575,1.3919999999999575,0.2028758341019685,-0.8544915575367013,-0.8544915575367013,-9.81,0.1,-9.81,0.7
1.3929999999999574,1.3929999999999574,0.2020164375444318,-0.8643015575367012,-0.8643015575367012,-9.81,0.1,-9.81,0.7
1.3939999999999573,1.3939999999999573,0.20114723098689508,-0.8741115575367012,-0.8741115575367012,-9.81,0.1,-9.81,0.7
1.3949999999999572,1.3949999999999572,0.20026821442935838,-0.8839215575367012,-0.8839215575367012,-9.81,0.1,-9.81,0.7
1.395999999999957,1.395999999999957,0.1993793878718217,-0.8937315575367012,-0.8937315575367012,-9.81,0.1,-9.81,0.7
1.396999999999957,1.396999999999957,0.198480751314285,-0.9035415575367012,-0.9035415575367012,-9.81,0.1,-9.81,0.7
1.3979999999999568,1.3979999999999568,0.1975723047567483,-0.9133515575367012,-0.9133515575367012,-9.81,0.1,-9.81,0.7
1.3989999999999567,1.3989999999999567,0.1966540481992116,-0.9231615575367011,-0.9231615575367011,-9.81,0.1,-9.81,0.7
1.3999999999999566,1.3999999999999566,0.1957259816416749,-0.9329715575367011,-0.9329715575367011,-9.81,0.1,-9.81,0.7
1.4009999999999565,1.4009999999999565,0.1947881050841382,-0.9427815575367011,-0.9427815575367011,-9.81,0.1,-9.81,0.7
1.4019999999999564,1.4019999999999564,0.19384041852660153,-0.9525915575367011,-0.9525915575367011,-9.81,0.1,-9.81,0.7
1.4029999999999563,1.4029999999999563,0.1928829219690648,-0.9624015575367011,-0.9624015575367011,-9.81,0.1,-9.81,0.7
1.4039999999999562,1.4039999999999562,0.19191561541152813,-0.9722115575367011,-0.9722115575367011,-9.81,0.1,-9.81,0.7
1.404999999999956,1.404999999999956,0.19093849885399145,-0.9820215575367011,-0.9820215575367011,-9.81,0.1,-9.81,0.7
1.405999999999956,1.405999999999956,0.18995157229645476,-0.991831557536701,-0.991831557536701,-9.81,0.1,-9.81,0.7
1.4069999999999558,1.4069999999999558,0.18895483573891805,-1.001641557536701,-1.001641557536701,-9.81,0.1,-9.81,0.7
1.4079999999999557,1.4079999999999557,0.18794828918138137,-1.0114515575367011,-1.0114515575367011,-9.81,0.1,-9.81,0.7
1.4089999999999556,1.4089999999999556,0.18693193262384467,-1.0212615575367012,-1.0212615575367012,-9.81,0.1,-9.81,0.7
1.4099999999999555,1.4099999999999555,0.18590576606630796,-1.0310715575367013,-1.0310715575367013,-9.81,0.1,-9.81,0.7
1.4109999999999554,1.4109999999999554,0.18486978950877123,-1.0408815575367014,-1.0408815575367014,-9.81,0.1,-9.81,0.7
1.4119999999999553,1.4119999999999553,0.18382400295123452,-1.0506915575367015,-1.0506915575367015,-9.81,0.1,-9.81,0.7
1.4129999999999552,1.4129999999999552,0.18276840639369782,-1.0605015575367016,-1.0605015575367016,-9.81,0.1,-9.81,0.7
1.413999999999955,1.413999999999955,0.18170299983616112,-1.0703115575367017,-1.0703115575367017,-9.81,0.1,-9.81,0.7
1.414999999999955,1.414999999999955,0.1806277832786244,-1.0801215575367018,-1.0801215575367018,-9.81,0.1,-9.81,0.7
1.4159999999999549,1.4159999999999549,0.1795427567210877,-1.089931557536702,-1.089931557536702,-9.81,0.1,-9.81,0.7
1.4169999999999547,1.4169999999999547,0.178447920163551,-1.099741557536702,-1.099741557536702,-9.81,0.1,-9.81,0.7
1.4179999999999546,1.4179999999999546,0.1773432736060143,-1.109551557536702,-1.109551557536702,-9.81,0.1,-9.81,0.7
1.4189999999999545,1.4189999999999545,0.1762288170484776,-1.1193615575367022,-1.1193615575367022,-9.81,0.1,-9.81,0.7
1.4199999999999544,1.4199999999999544,0.17510455049094087,-1.1291715575367023,-1.1291715575367023,-9.81,0.1,-9.81,0.7
1.4209999999999543,1.4209999999999543,0.17397047393340417,-1.1389815575367024,-1.1389815575367024,-9.81,0.1,-9.81,0.7
1.4219999999999542,1.4219999999999542,0.17282658737586748,-1.1487915575367025,-1.1487915575367025,-9.81,0.1,-9.81,0.7
1.422999999999954,1.422999999999954,0.1716728908183308,-1.1586015575367026,-1.1586015575367026,-9.81,0.1,-9.81,0.7
1.423999999999954,1.423999999999954,0.17050938426079407,-1.1684115575367027,-1.1684115575367027,-9.81,0.1,-9.81,0.7
1.4249999999999539,1.4249999999999539,0.16933606770325738,-1.1782215575367028,-1.1782215575367028,-9.81,0.1,-9.81,0.7
1.4259999999999537,1.4259999999999537,0.16815294114572069,-1.1880315575367029,-1.1880315575367029,-9.81,0.1,-9.81,0.7
1.4269999999999536,1.4269999999999536,0.166960004588184,-1.197841557536703,-1.197841557536703,-9.81,0.1,-9.81,0.7
1.4279999999999535,1.4279999999999535,0.16575725803064728,-1.207651557536703,-1.207651557536703,-9.81,0.1,-9.81,0.7
1.4289999999999534,1.4289999999999534,0.1645447014731106,-1.2174615575367032,-1.2174615575367032,-9.81,0.1,-9.81,0.7
1.4299999999999533,1.4299999999999533,0.1633223349155739,-1.2272715575367033,-1.2272715575367033,-9.81,0.1,-9.81,0.7
1.4309999999999532,1.4309999999999532,0.16209015835803722,-1.2370815575367033,-1.2370815575367033,-9.81,0.1,-9.81,0.7
1.431999999999953,1.431999999999953,0.1608481718005005,-1.2468915575367034,-1.2468915575367034,-9.81,0.1,-9.81,0.7
1.432999999999953,1.432999999999953,0.1595963752429638,-1.2567015575367035,-1.2567015575367035,-9.81,0.1,-9.81,0.7
1.4339999999999529,1.4339999999999529,0.1583347686854271,-1.2665115575367036,-1.2665115575367036,-9.81,0.1,-9.81,0.7
1.4349999999999528,1.4349999999999528,0.15706335212789038,-1.2763215575367037,-1.2763215575367037,-9.81,0.1,-9.81,0.7
1.4359999999999526,1.4359999999999526,0.15578212557035365,-1.2861315575367038,-1.2861315575367038,-9.81,0.1,-9.81,0.7
1.4369999999999525,1.4369999999999525,0.15449108901281694,-1.295941557536704,-1.295941557536704,-9.81,0.1,-9.81,0.7
1.4379999999999524,1.4379999999999524,0.15319024245528023,-1.305751557536704,-1.305751557536704,-9.81,0.1,-9.81,0.7
1.4389999999999523,1.4389999999999523,0.15187958589774353,-1.3155615575367041,-1.3155615575367041,-9.81,0.1,-9.81,0.7
1.4399999999999522,1.4399999999999522,0.15055911934020683,-1.3253715575367042,-1.3253715575367042,-9.81,0.1,-9.81,0.7
1.440999999999952,1.440999999999952,0.1492288427826701,-1.3351815575367043,-1.3351815575367043,-9.81,0.1,-9.81,0.7
1.441999999999952,1.441999999999952,0.1478887562251334,-1.3449915575367044,-1.3449915575367044,-9.81,0.1,-9.81,0.7
1.4429999999999519,1.4429999999999519,0.1465388596675967,-1.3548015575367045,-1.3548015575367045,-9.81,0.1,-9.81,0.7
1.4439999999999518,1.4439999999999518,0.14517915311006,-1.3646115575367046,-1.3646115575367046,-9.81,0.1,-9.81,0.7
1.4449999999999517,1.4449999999999517,0.14380963655252327,-1.3744215575367047,-1.3744215575367047,-9.81,0.1,-9.81,0.7
1.4459999999999515,1.4459999999999515,0.14243030999498657,-1.3842315575367048,-1.3842315575367048,-9.81,0.1,-9.81,0.7
1.4469999999999514,1.4469999999999514,0.14104117343744987,-1.394041557536705,-1.394041557536705,-9.81,0.1,-9.81,0.7
1.4479999999999513,1.4479999999999513,0.13964222687991318,-1.403851557536705,-1.403851557536705,-9.81,0.1,-9.81,0.7
1.4489999999999512,1.4489999999999512,0.13823347032237646,-1.413661557536705,-1.413661557536705,-9.81,0.1,-9.81,0.7
1.449999999999951,1.449999999999951,0.13681490376483976,-1.4234715575367052,-1.4234715575367052,-9.81,0.1,-9.81,0.7
1.450999999999951,1.450999999999951,0.13538652720730307,-1.4332815575367053,-1.4332815575367053,-9.81,0.1,-9.81,0.7
1.4519999999999509,1.4519999999999509,0.13394834064976638,-1.4430915575367054,-1.4430915575367054,-9.81,0.1,-9.81,0.7
1.4529999999999508,1.4529999999999508,0.13250034409222966,-1.4529015575367055,-1.4529015575367055,-9.81,0.1,-9.81,0.7
1.4539999999999507,1.4539999999999507,0.13104253753469297,-1.4627115575367056,-1.4627115575367056,-9.81,0.1,-9.81,0.7
1.4549999999999506,1.4549999999999506,0.12957492097715628,-1.4725215575367057,-1.4725215575367057,-9.81,0.1,-9.81,0.7
