"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.h","system.fmu.der(h)","system.fmu.v","system.fmu.der(v)","system.fmu.v_min","system.fmu.g","system.fmu.e"
0.672, 0.003738609, 0.000350598, 0.672, -1.21172336, -6.59232, -6.59232, -9.81, 0.1, -9.81, 0.7
0.673, 0.003743829, 0.000351098, 0.673, -1.21831568, -6.60213, -6.60213, -9.81, 0.1, -9.81, 0.7
0.674, 0.003749169, 0.000351597, 0.674, -1.22491781, -6.61194, -6.61194, -9.81, 0.1, -9.81, 0.7
0.675, 0.00375384, 0.000352097, 0.675, -1.23152975, -6.62175, -6.62175, -9.81, 0.1, -9.81, 0.7
0.676, 0.003759091, 0.000352607, 0.676, -1.2381515, -6.63156, -6.63156, -9.81, 0.1, -9.81, 0.7
0.677, 0.00376459, 0.000353088, 0.677, -1.24478306, -6.64137, -6.64137, -9.81, 0.1, -9.81, 0.7
0.678, 0.00376947, 0.000353577, 0.678, -1.25142443, -6.65118, -6.65118, -9.81, 0.1, -9.81, 0.7
0.679, 0.003774609, 0.000354076, 0.679, -1.25807561, -6.66099, -6.66099, -9.81, 0.1, -9.81, 0.7
0.68, 0.003779308, 0.000354576, 0.68, -1.2647366, -6.6708, -6.6708, -9.81, 0.1, -9.81, 0.7
0.681, 0.003784558, 0.000355076, 0.681, -1.2714074, -6.68061, -6.68061, -9.81, 0.1, -9.81, 0.7
0.682, 0.003790019, 0.000355565, 0.682, -1.27808801, -6.69042, -6.69042, -9.81, 0.1, -9.81, 0.7
0.683, 0.003794499, 0.000356055, 0.683, -1.28477843, -6.70023, -6.70023, -9.81, 0.1, -9.81, 0.7
0.684, 0.00379986, 0.000356555, 0.684, -1.29147866, -6.71004, -6.71004, -9.81, 0.1, -9.81, 0.7
0.685, 0.0038052, 0.000357055, 0.685, -1.2981887, -6.71985, -6.71985, -9.81, 0.1, -9.81, 0.7
0.686, 0.00380981, 0.000357555, 0.686, -1.30490855, -6.72966, -6.72966, -9.81, 0.1, -9.81, 0.7
0.687, 0.0038149, 0.000358045, 0.687, -1.31163821, -6.73947, -6.73947, -9.81, 0.1, -9.81, 0.7
0.688, 0.00382037, 0.000358545, 0.688, -1.31837768, -6.74928, -6.74928, -9.81, 0.1, -9.81, 0.7
0.689, 0.00382556, 0.000359035, 0.689, -1.32512696, -6.75909, -6.75909, -9.81, 0.1, -9.81, 0.7
0.69, 0.003830751, 0.000359525, 0.69, -1.33188605, -6.7689, -6.7689, -9.81, 0.1, -9.81, 0.7
0.691, 0.003835762, 0.000360004, 0.691, -1.33865495, -6.77871, -6.77871, -9.81, 0.1, -9.81, 0.7
0.692, 0.003840743, 0.000360492, 0.692, -1.34543366, -6.78852, -6.78852, -9.81, 0.1, -9.81, 0.7
0.693, 0.003846202, 0.000361002, 0.693, -1.35222218, -6.79833, -6.79833, -9.81, 0.1, -9.81, 0.7
0.694, 0.003855381, 0.000361503, 0.694, -1.35902051, -6.80814, -6.80814, -9.81, 0.1, -9.81, 0.7
0.695, 0.003860472, 0.000362003, 0.695, -1.36582865, -6.81795, -6.81795, -9.81, 0.1, -9.81, 0.7
0.696, 0.003865732, 0.000362503, 0.696, -1.3726466, -6.82776, -6.82776, -9.81, 0.1, -9.81, 0.7
0.697, 0.003871062, 0.000363014, 0.697, -1.37947436, -6.83757, -6.83757, -9.81, 0.1, -9.81, 0.7
0.698, 0.003875802, 0.000363525, 0.698, -1.38631193, -6.84738, -6.84738, -9.81, 0.1, -9.81, 0.7
0.699, 0.003881002, 0.000364045, 0.699, -1.39315931, -6.85719, -6.85719, -9.81, 0.1, -9.81, 0.7
0.7, 0.003886452, 0.000364565, 0.7, -1.4000165, -6.867, -6.867, -9.81, 0.1, -9.81, 0.7
0.701, 0.003891092, 0.000365075, 0.701, -1.4068835, -6.87681, -6.87681, -9.81, 0.1, -9.81, 0.7
0.702, 0.003896182, 0.000365575, 0.702, -1.41376031, -6.88662, -6.88662, -9.81, 0.1, -9.81, 0.7
0.703, 0.003901422, 0.000366076, 0.703, -1.42064693, -6.89643, -6.89643, -9.81, 0.1, -9.81, 0.7
0.704, 0.003905952, 0.000366576, 0.704, -1.42754336, -6.90624, -6.90624, -9.81, 0.1, -9.81, 0.7
0.705, 0.003911222, 0.000367076, 0.705, -1.4344496, -6.91605, -6.91605, -9.81, 0.1, -9.81, 0.7
0.706, 0.003916013, 0.000367565, 0.706, -1.44136565, -6.92586, -6.92586, -9.81, 0.1, -9.81, 0.7
0.707, 0.003921053, 0.000368075, 0.707, -1.44829151, -6.93567, -6.93567, -9.81, 0.1, -9.81, 0.7
0.708, 0.003926383, 0.000368575, 0.708, -1.45522718, -6.94548, -6.94548, -9.81, 0.1, -9.81, 0.7
0.709, 0.003930884, 0.000369086, 0.709, -1.46217266, -6.95529, -6.95529, -9.81, 0.1, -9.81, 0.7
0.71, 0.003936124, 0.000369575, 0.71, -1.46912795, -6.9651, -6.9651, -9.81, 0.1, -9.81, 0.7
0.711, 0.003941424, 0.000370086, 0.711, -1.47609305, -6.97491, -6.97491, -9.81, 0.1, -9.81, 0.7
0.712, 0.003946084, 0.000370586, 0.712, -1.48306796, -6.98472, -6.98472, -9.81, 0.1, -9.81, 0.7
0.713, 0.003951323, 0.000371086, 0.713, -1.49005268, -6.99453, -6.99453, -9.81, 0.1, -9.81, 0.7
0.714, 0.003955943, 0.000371586, 0.714, -1.49704721, -7.00434, -7.00434, -9.81, 0.1, -9.81, 0.7
0.715, 0.003961013, 0.000372086, 0.715, -1.50405155, -7.01415, -7.01415, -9.81, 0.1, -9.81, 0.7
0.716, 0.003966333, 0.000372586, 0.716, -1.5110657, -7.02396, -7.02396, -9.81, 0.1, -9.81, 0.7
0.717, 0.003970863, 0.000373086, 0.717, -1.51808966, -7.03377, -7.03377, -9.81, 0.1, -9.81, 0.7
0.718, 0.003976043, 0.000373576, 0.718, -1.52512343, -7.04358, -7.04358, -9.81, 0.1, -9.81, 0.7
0.719, 0.003981363, 0.000374077, 0.719, -1.53216701, -7.05339, -7.05339, -9.81, 0.1, -9.81, 0.7
0.72, 0.003985903, 0.000374568, 0.72, -1.5392204, -7.0632, -7.0632, -9.81, 0.1, -9.81, 0.7
0.721, 0.003991183, 0.000375047, 0.721, -1.5462836, -7.07301, -7.07301, -9.81, 0.1, -9.81, 0.7
0.722, 0.003996224, 0.000375526, 0.722, -1.55335661, -7.08282, -7.08282, -9.81, 0.1, -9.81, 0.7
0.723, 0.004001253, 0.000376036, 0.723, -1.56043943, -7.09263, -7.09263, -9.81, 0.1, -9.81, 0.7
0.724, 0.004006594, 0.000376546, 0.724, -1.56753206, -7.10244, -7.10244, -9.81, 0.1, -9.81, 0.7
0.725, 0.004011234, 0.000377037, 0.725, -1.5746345, -7.11225, -7.11225, -9.81, 0.1, -9.81, 0.7
0.726, 0.004016495, 0.000377527, 0.726, -1.58174675, -7.12206, -7.12206, -9.81, 0.1, -9.81, 0.7
0.727, 0.004022015, 0.000378027, 0.727, -1.58886881, -7.13187, -7.13187, -9.81, 0.1, -9.81, 0.7
0.728, 0.004026486, 0.000378526, 0.728, -1.59600068, -7.14168, -7.14168, -9.81, 0.1, -9.81, 0.7
0.729, 0.004031796, 0.000379036, 0.729, -1.60314236, -7.15149, -7.15149, -9.81, 0.1, -9.81, 0.7
0.73, 0.004037416, 0.000379536, 0.73, -1.61029385, -7.1613, -7.1613, -9.81, 0.1, -9.81, 0.7
0.731, 0.004042316, 0.000380036, 0.731, -1.61745515, -7.17111, -7.17111, -9.81, 0.1, -9.81, 0.7
0.732, 0.004047656, 0.000380536, 0.732, -1.62462626, -7.18092, -7.18092, -9.81, 0.1, -9.81, 0.7
0.733, 0.004052556, 0.000381026, 0.733, -1.63180718, -7.19073, -7.19073, -9.81, 0.1, -9.81, 0.7
0.734, 0.004057617, 0.000381526, 0.734, -1.63899791, -7.20054, -7.20054, -9.81, 0.1, -9.81, 0.7
0.735, 0.004062887, 0.000382026, 0.735, -1.64619845, -7.21035, -7.21035, -9.81, 0.1, -9.81, 0.7
0.736, 0.004067437, 0.000382535, 0.736, -1.6534088, -7.22016, -7.22016, -9.81, 0.1, -9.81, 0.7
0.737, 0.004076878, 0.000383054, 0.737, -1.66062896, -7.22997, -7.22997, -9.81, 0.1, -9.81, 0.7
0.738, 0.004082377, 0.000383564, 0.738, -1.66785893, -7.23978, -7.23978, -9.81, 0.1, -9.81, 0.7
0.739, 0.004087598, 0.000384065, 0.739, -1.67509871, -7.24959, -7.24959, -9.81, 0.1, -9.81, 0.7
0.74, 0.004092058, 0.000384564, 0.74, -1.6823483, -7.2594, -7.2594, -9.81, 0.1, -9.81, 0.7
0.741, 0.004097397, 0.000385064, 0.741, -1.6896077, -7.26921, -7.26921, -9.81, 0.1, -9.81, 0.7
0.742, 0.004102817, 0.000385565, 0.742, -1.69687691, -7.27902, -7.27902, -9.81, 0.1, -9.81, 0.7
0.743, 0.004107557, 0.000386065, 0.743, -1.70415593, -7.28883, -7.28883, -9.81, 0.1, -9.81, 0.7
0.744, 0.004112827, 0.000386565, 0.744, -1.71144476, -7.29864, -7.29864, -9.81, 0.1, -9.81, 0.7
0.745, 0.004118227, 0.000387065, 0.745, -1.7187434, -7.30845, -7.30845, -9.81, 0.1, -9.81, 0.7
0.746, 0.004122917, 0.000387565, 0.746, -1.72605185, -7.31826, -7.31826, -9.81, 0.1, -9.81, 0.7
0.747, 0.004128117, 0.000388055, 0.747, -1.73337011, -7.32807, -7.32807, -9.81, 0.1, -9.81, 0.7
0.748, 0.004133037, 0.000388555, 0.748, -1.74069818, -7.33788, -7.33788, -9.81, 0.1, -9.81, 0.7
0.749, 0.004138186, 0.000389047, 0.749, -1.74803606, -7.34769, -7.34769, -9.81, 0.1, -9.81, 0.7
0.75, 0.004143546, 0.000389535, 0.75, -1.75538375, -7.3575, -7.3575, -9.81, 0.1, -9.81, 0.7
0.751, 0.004148777, 0.000390054, 0.751, -1.76274125, -7.36731, -7.36731, -9.81, 0.1, -9.81, 0.7
0.752, 0.004154046, 0.000390555, 0.752, -1.77010856, -7.37712, -7.37712, -9.81, 0.1, -9.81, 0.7
0.753, 0.004159206, 0.000391043, 0.753, -1.77748568, -7.38693, -7.38693, -9.81, 0.1, -9.81, 0.7
0.754, 0.004163807, 0.000391532, 0.754, -1.78487261, -7.39674, -7.39674, -9.81, 0.1, -9.81, 0.7
0.755, 0.004168946, 0.000392023, 0.755, -1.79226935, -7.40655, -7.40655, -9.81, 0.1, -9.81, 0.7
0.756, 0.004174167, 0.000392523, 0.756, -1.7996759, -7.41636, -7.41636, -9.81, 0.1, -9.81, 0.7
0.757, 0.004178697, 0.000393023, 0.757, -1.80709226, -7.42617, -7.42617, -9.81, 0.1, -9.81, 0.7
0.758, 0.004183997, 0.000393523, 0.758, -1.81451843, -7.43598, -7.43598, -9.81, 0.1, -9.81, 0.7
0.759, 0.004188977, 0.000394013, 0.759, -1.82195441, -7.44579, -7.44579, -9.81, 0.1, -9.81, 0.7
0.76, 0.004194047, 0.000394513, 0.76, -1.8294002, -7.4556, -7.4556, -9.81, 0.1, -9.81, 0.7
0.761, 0.004199297, 0.000395013, 0.761, -1.8368558, -7.46541, -7.46541, -9.81, 0.1, -9.81, 0.7
0.762, 0.004203847, 0.000395523, 0.762, -1.84432121, -7.47522, -7.47522, -9.81, 0.1, -9.81, 0.7
0.763, 0.004209057, 0.000396031, 0.763, -1.85179643, -7.48503, -7.48503, -9.81, 0.1, -9.81, 0.7
0.764, 0.004214466, 0.000396521, 0.764, -1.85928146, -7.49484, -7.49484, -9.81, 0.1, -9.81, 0.7
0.765, 0.004218935, 0.000397012, 0.765, -1.8667763, -7.50465, -7.50465, -9.81, 0.1, -9.81, 0.7
0.766, 0.004224146, 0.000397513, 0.766, -1.87428095, -7.51446, -7.51446, -9.81, 0.1, -9.81, 0.7
0.767, 0.004229146, 0.000398004, 0.767, -1.88179541, -7.52427, -7.52427, -9.81, 0.1, -9.81, 0.7
0.768, 0.004234106, 0.000398515, 0.768, -1.88931968, -7.53408, -7.53408, -9.81, 0.1, -9.81, 0.7
0.769, 0.004239426, 0.000399014, 0.769, -1.89685376, -7.54389, -7.54389, -9.81, 0.1, -9.81, 0.7
0.77, 0.004243906, 0.000399513, 0.77, -1.90439765, -7.5537, -7.5537, -9.81, 0.1, -9.81, 0.7
0.771, 0.004249176, 0.000400023, 0.771, -1.91195135, -7.56351, -7.56351, -9.81, 0.1, -9.81, 0.7
0.772, 0.004254457, 0.000400522, 0.772, -1.91951486, -7.57332, -7.57332, -9.81, 0.1, -9.81, 0.7
0.773, 0.004258997, 0.000401022, 0.773, -1.92708818, -7.58313, -7.58313, -9.81, 0.1, -9.81, 0.7
0.774, 0.004264287, 0.000401512, 0.774, -1.93467131, -7.59294, -7.59294, -9.81, 0.1, -9.81, 0.7
0.775, 0.004269277, 0.000402012, 0.775, -1.94226425, -7.60275, -7.60275, -9.81, 0.1, -9.81, 0.7
0.776, 0.004274237, 0.000402502, 0.776, -1.949867, -7.61256, -7.61256, -9.81, 0.1, -9.81, 0.7
0.777, 0.004279657, 0.000403002, 0.777, -1.95747956, -7.62237, -7.62237, -9.81, 0.1, -9.81, 0.7
0.778, 0.004284267, 0.000403502, 0.778, -1.96510193, -7.63218, -7.63218, -9.81, 0.1, -9.81, 0.7
0.779, 0.004289507, 0.000404023, 0.779, -1.97273411, -7.64199, -7.64199, -9.81, 0.1, -9.81, 0.7
0.78, 0.004297238, 0.000404515, 0.78, -1.9803761, -7.6518, -7.6518, -9.81, 0.1, -9.81, 0.7
0.781, 0.004303089, 0.000405016, 0.781, -1.9880279, -7.66161, -7.66161, -9.81, 0.1, -9.81, 0.7
0.782, 0.0043081, 0.000405495, 0.782, -1.99568951, -7.67142, -7.67142, -9.81, 0.1, -9.81, 0.7
0.783, 0.004312651, 0.000405973, 0.783, -2.00336093, -7.68123, -7.68123, -9.81, 0.1, -9.81, 0.7
0.784, 0.00431783, 0.000406474, 0.784, -2.01104216, -7.69104, -7.69104, -9.81, 0.1, -9.81, 0.7
0.785, 0.00432231, 0.000406983, 0.785, -2.0187332, -7.70085, -7.70085, -9.81, 0.1, -9.81, 0.7
0.786, 0.004326969, 0.000407483, 0.786, -2.02643405, -7.71066, -7.71066, -9.81, 0.1, -9.81, 0.7
0.787, 0.004332048, 0.000407983, 0.787, -2.03414471, -7.72047, -7.72047, -9.81, 0.1, -9.81, 0.7
0.788, 0.004336528, 0.000408473, 0.788, -2.04186518, -7.73028, -7.73028, -9.81, 0.1, -9.81, 0.7
0.789, 0.004341868, 0.000408983, 0.789, -2.04959546, -7.74009, -7.74009, -9.81, 0.1, -9.81, 0.7
0.79, 0.004346358, 0.000409483, 0.79, -2.05733555, -7.7499, -7.7499, -9.81, 0.1, -9.81, 0.7
0.791, 0.004351928, 0.000409963, 0.791, -2.06508545, -7.75971, -7.75971, -9.81, 0.1, -9.81, 0.7
0.792, 0.004356538, 0.000410453, 0.792, -2.07284516, -7.76952, -7.76952, -9.81, 0.1, -9.81, 0.7
0.793, 0.004361629, 0.000410943, 0.793, -2.08061468, -7.77933, -7.77933, -9.81, 0.1, -9.81, 0.7
0.794, 0.004367139, 0.000411443, 0.794, -2.08839401, -7.78914, -7.78914, -9.81, 0.1, -9.81, 0.7
0.795, 0.004372219, 0.000411933, 0.795, -2.09618315, -7.79895, -7.79895, -9.81, 0.1, -9.81, 0.7
0.796, 0.004377349, 0.000412413, 0.796, -2.1039821, -7.80876, -7.80876, -9.81, 0.1, -9.81, 0.7
0.797, 0.004382138, 0.000412904, 0.797, -2.11179086, -7.81857, -7.81857, -9.81, 0.1, -9.81, 0.7
0.798, 0.004387098, 0.000413413, 0.798, -2.11960943, -7.82838, -7.82838, -9.81, 0.1, -9.81, 0.7
0.799, 0.004392388, 0.000413923, 0.799, -2.12743781, -7.83819, -7.83819, -9.81, 0.1, -9.81, 0.7
0.8, 0.004396858, 0.000414441, 0.8, -2.135276, -7.848, -7.848, -9.81, 0.1, -9.81, 0.7
0.801, 0.004401388, 0.00041494, 0.801, -2.143124, -7.85781, -7.85781, -9.81, 0.1, -9.81, 0.7
0.802, 0.004406678, 0.00041543, 0.802, -2.15098181, -7.86762, -7.86762, -9.81, 0.1, -9.81, 0.7
0.803, 0.004411128, 0.00041594, 0.803, -2.15884943, -7.87743, -7.87743, -9.81, 0.1, -9.81, 0.7
0.804, 0.004418798, 0.0004165, 0.804, -2.16672686, -7.88724, -7.88724, -9.81, 0.1, -9.81, 0.7
0.805, 0.004426338, 0.00041722, 0.805, -2.1746141, -7.89705, -7.89705, -9.81, 0.1, -9.81, 0.7
0.806, 0.004433718, 0.000417899, 0.806, -2.18251115, -7.90686, -7.90686, -9.81, 0.1, -9.81, 0.7
0.807, 0.004440808, 0.000418608, 0.807, -2.19041801, -7.91667, -7.91667, -9.81, 0.1, -9.81, 0.7
0.808, 0.004449198, 0.000419309, 0.808, -2.19833468, -7.92648, -7.92648, -9.81, 0.1, -9.81, 0.7
0.809, 0.004454788, 0.000419909, 0.809, -2.20626116, -7.93629, -7.93629, -9.81, 0.1, -9.81, 0.7
0.81, 0.004460009, 0.000420429, 0.81, -2.21419745, -7.9461, -7.9461, -9.81, 0.1, -9.81, 0.7
0.811, 0.004465499, 0.000420929, 0.811, -2.22214355, -7.95591, -7.95591, -9.81, 0.1, -9.81, 0.7
0.812, 0.004470329, 0.00042144, 0.812, -2.23009946, -7.96572, -7.96572, -9.81, 0.1, -9.81, 0.7
0.813, 0.004475509, 0.000421929, 0.813, -2.23806518, -7.97553, -7.97553, -9.81, 0.1, -9.81, 0.7
0.814, 0.004480919, 0.00042243, 0.814, -2.24604071, -7.98534, -7.98534, -9.81, 0.1, -9.81, 0.7
0.815, 0.004485519, 0.00042295, 0.815, -2.25402605, -7.99515, -7.99515, -9.81, 0.1, -9.81, 0.7
0.816, 0.004492199, 0.00042352, 0.816, -2.2620212, -8.00496, -8.00496, -9.81, 0.1, -9.81, 0.7
0.817, 0.004500279, 0.00042425, 0.817, -2.27002616, -8.01477, -8.01477, -9.81, 0.1, -9.81, 0.7
0.818, 0.004507769, 0.00042497, 0.818, -2.27804093, -8.02458, -8.02458, -9.81, 0.1, -9.81, 0.7
0.819, 0.004515309, 0.00042566, 0.819, -2.28606551, -8.03439, -8.03439, -9.81, 0.1, -9.81, 0.7
0.82, 0.00452202, 0.00042634, 0.82, -2.2940999, -8.0442, -8.0442, -9.81, 0.1, -9.81, 0.7
0.821, 0.004529249, 0.000426931, 0.821, -2.3021441, -8.05401, -8.05401, -9.81, 0.1, -9.81, 0.7
0.822, 0.004534, 0.000427451, 0.822, -2.31019811, -8.06382, -8.06382, -9.81, 0.1, -9.81, 0.7
0.823, 0.004539459, 0.00042795, 0.823, -2.31826193, -8.07363, -8.07363, -9.81, 0.1, -9.81, 0.7
0.824, 0.004548278, 0.000428451, 0.824, -2.32633556, -8.08344, -8.08344, -9.81, 0.1, -9.81, 0.7
0.825, 0.004553179, 0.000428972, 0.825, -2.334419, -8.09325, -8.09325, -9.81, 0.1, -9.81, 0.7
0.826, 0.004558659, 0.000429472, 0.826, -2.34251225, -8.10306, -8.10306, -9.81, 0.1, -9.81, 0.7
0.827, 0.004564119, 0.000429982, 0.827, -2.35061531, -8.11287, -8.11287, -9.81, 0.1, -9.81, 0.7
0.828, 0.004569109, 0.000430472, 0.828, -2.35872818, -8.12268, -8.12268, -9.81, 0.1, -9.81, 0.7
0.829, 0.004574209, 0.000430972, 0.829, -2.36685086, -8.13249, -8.13249, -9.81, 0.1, -9.81, 0.7
0.83, 0.004579629, 0.000431472, 0.83, -2.37498335, -8.1423, -8.1423, -9.81, 0.1, -9.81, 0.7
0.831, 0.004584109, 0.000431952, 0.831, -2.38312565, -8.15211, -8.15211, -9.81, 0.1, -9.81, 0.7
0.832, 0.004589469, 0.000432432, 0.832, -2.39127776, -8.16192, -8.16192, -9.81, 0.1, -9.81, 0.7
0.833, 0.004593909, 0.000432931, 0.833, -2.39943968, -8.17173, -8.17173, -9.81, 0.1, -9.81, 0.7
0.834, 0.004599149, 0.00043342, 0.834, -2.40761141, -8.18154, -8.18154, -9.81, 0.1, -9.81, 0.7
0.835, 0.004603729, 0.000433911, 0.835, -2.41579295, -8.19135, -8.19135, -9.81, 0.1, -9.81, 0.7
0.836, 0.004608769, 0.000434419, 0.836, -2.4239843, -8.20116, -8.20116, -9.81, 0.1, -9.81, 0.7
0.837, 0.004613399, 0.00043501, 0.837, -2.43218546, -8.21097, -8.21097, -9.81, 0.1, -9.81, 0.7
0.838, 0.004618959, 0.00043571, 0.838, -2.44039643, -8.22078, -8.22078, -9.81, 0.1, -9.81, 0.7
0.839, 0.004623919, 0.000436309, 0.839, -2.44861721, -8.23059, -8.23059, -9.81, 0.1, -9.81, 0.7
0.84, 0.004629469, 0.000436938, 0.84, -2.4568478, -8.2404, -8.2404, -9.81, 0.1, -9.81, 0.7
0.841, 0.004634149, 0.000437488, 0.841, -2.4650882, -8.25021, -8.25021, -9.81, 0.1, -9.81, 0.7
0.842, 0.004639399, 0.000437998, 0.842, -2.47333841, -8.26002, -8.26002, -9.81, 0.1, -9.81, 0.7
0.843, 0.004644099, 0.000438488, 0.843, -2.48159843, -8.26983, -8.26983, -9.81, 0.1, -9.81, 0.7
0.844, 0.004649299, 0.000438988, 0.844, -2.48986826, -8.27964, -8.27964, -9.81, 0.1, -9.81, 0.7
0.845, 0.004654919, 0.000439498, 0.845, -2.4981479, -8.28945, -8.28945, -9.81, 0.1, -9.81, 0.7
0.846, 0.004659459, 0.000440008, 0.846, -2.50643735, -8.29926, -8.29926, -9.81, 0.1, -9.81, 0.7
0.847, 0.00466475, 0.000440508, 0.847, -2.51473661, -8.30907, -8.30907, -9.81, 0.1, -9.81, 0.7
0.848, 0.00466942, 0.000440987, 0.848, -2.52304568, -8.31888, -8.31888, -9.81, 0.1, -9.81, 0.7
0.849, 0.00467475, 0.000441486, 0.849, -2.53136456, -8.32869, -8.32869, -9.81, 0.1, -9.81, 0.7
0.85, 0.004680031, 0.000441976, 0.85, -2.53969325, -8.3385, -8.3385, -9.81, 0.1, -9.81, 0.7
0.851, 0.004684791, 0.000442487, 0.851, -2.54803175, -8.34831, -8.34831, -9.81, 0.1, -9.81, 0.7
0.852, 0.004690482, 0.000442986, 0.852, -2.55638006, -8.35812, -8.35812, -9.81, 0.1, -9.81, 0.7
0.853, 0.004695311, 0.000443486, 0.853, -2.56473818, -8.36793, -8.36793, -9.81, 0.1, -9.81, 0.7
0.854, 0.0046998, 0.000443976, 0.854, -2.57310611, -8.37774, -8.37774, -9.81, 0.1, -9.81, 0.7
0.855, 0.00470488, 0.000444467, 0.855, -2.58148385, -8.38755, -8.38755, -9.81, 0.1, -9.81, 0.7
0.856, 0.004709819, 0.000444976, 0.856, -2.5898714, -8.39736, -8.39736, -9.81, 0.1, -9.81, 0.7
0.857, 0.004714949, 0.000445466, 0.857, -2.59826876, -8.40717, -8.40717, -9.81, 0.1, -9.81, 0.7
0.858, 0.004720609, 0.000445976, 0.858, -2.60667593, -8.41698, -8.41698, -9.81, 0.1, -9.81, 0.7
0.859, 0.004725539, 0.000446486, 0.859, -2.61509291, -8.42679, -8.42679, -9.81, 0.1, -9.81, 0.7
0.86, 0.004730579, 0.000446986, 0.86, -2.6235197, -8.4366, -8.4366, -9.81, 0.1, -9.81, 0.7
0.861, 0.004735059, 0.000447486, 0.861, -2.6319563, -8.44641, -8.44641, -9.81, 0.1, -9.81, 0.7
0.862, 0.00474041, 0.000447996, 0.862, -2.64040271, -8.45622, -8.45622, -9.81, 0.1, -9.81, 0.7
0.863, 0.00474493, 0.000448496, 0.863, -2.64885893, -8.46603, -8.46603, -9.81, 0.1, -9.81, 0.7
0.864, 0.00475021, 0.000449005, 0.864, -2.65732496, -8.47584, -8.47584, -9.81, 0.1, -9.81, 0.7
0.865, 0.00475471, 0.000449496, 0.865, -2.6658008, -8.48565, -8.48565, -9.81, 0.1, -9.81, 0.7
0.866, 0.00476011, 0.000449997, 0.866, -2.67428645, -8.49546, -8.49546, -9.81, 0.1, -9.81, 0.7
0.867, 0.00476878, 0.000450496, 0.867, -2.68278191, -8.50527, -8.50527, -9.81, 0.1, -9.81, 0.7
0.868, 0.004773429, 0.000450997, 0.868, -2.69128718, -8.51508, -8.51508, -9.81, 0.1, -9.81, 0.7
0.869, 0.00477898, 0.000451485, 0.869, -2.69980226, -8.52489, -8.52489, -9.81, 0.1, -9.81, 0.7
0.87, 0.00478369, 0.000452065, 0.87, -2.70832715, -8.5347, -8.5347, -9.81, 0.1, -9.81, 0.7
0.871, 0.004789111, 0.000452675, 0.871, -2.71686185, -8.54451, -8.54451, -9.81, 0.1, -9.81, 0.7
0.872, 0.004793651, 0.000453175, 0.872, -2.72540636, -8.55432, -8.55432, -9.81, 0.1, -9.81, 0.7
0.873, 0.004798911, 0.000453675, 0.873, -2.73396068, -8.56413, -8.56413, -9.81, 0.1, -9.81, 0.7
0.874, 0.004803471, 0.000454175, 0.874, -2.74252481, -8.57394, -8.57394, -9.81, 0.1, -9.81, 0.7
0.875, 0.004808731, 0.000454665, 0.875, -2.75109875, -8.58375, -8.58375, -9.81, 0.1, -9.81, 0.7
0.876, 0.004813211, 0.000455165, 0.876, -2.7596825, -8.59356, -8.59356, -9.81, 0.1, -9.81, 0.7
0.877, 0.004818292, 0.000455675, 0.877, -2.76827606, -8.60337, -8.60337, -9.81, 0.1, -9.81, 0.7
0.878, 0.004822842, 0.000456164, 0.878, -2.77687943, -8.61318, -8.61318, -9.81, 0.1, -9.81, 0.7
0.879, 0.004828142, 0.000456664, 0.879, -2.78549261, -8.62299, -8.62299, -9.81, 0.1, -9.81, 0.7
0.88, 0.004833062, 0.000457164, 0.88, -2.7941156, -8.6328, -8.6328, -9.81, 0.1, -9.81, 0.7
0.881, 0.004838193, 0.000457664, 0.881, -2.8027484, -8.64261, -8.64261, -9.81, 0.1, -9.81, 0.7
0.882, 0.004843553, 0.000458154, 0.882, -2.81139101, -8.65242, -8.65242, -9.81, 0.1, -9.81, 0.7
0.883, 0.004848374, 0.000458645, 0.883, -2.82004343, -8.66223, -8.66223, -9.81, 0.1, -9.81, 0.7
0.884, 0.004853674, 0.000459134, 0.884, -2.82870566, -8.67204, -8.67204, -9.81, 0.1, -9.81, 0.7
0.885, 0.004858093, 0.000459615, 0.885, -2.8373777, -8.68185, -8.68185, -9.81, 0.1, -9.81, 0.7
0.886, 0.004863393, 0.000460115, 0.886, -2.84605955, -8.69166, -8.69166, -9.81, 0.1, -9.81, 0.7
0.887, 0.004867903, 0.000460625, 0.887, -2.85475121, -8.70147, -8.70147, -9.81, 0.1, -9.81, 0.7
0.888, 0.004872803, 0.000461125, 0.888, -2.86345268, -8.71128, -8.71128, -9.81, 0.1, -9.81, 0.7
0.889, 0.004877613, 0.000461625, 0.889, -2.87216396, -8.72109, -8.72109, -9.81, 0.1, -9.81, 0.7
0.89, 0.004883223, 0.000462125, 0.89, -2.88088505, -8.7309, -8.7309, -9.81, 0.1, -9.81, 0.7
0.891, 0.004888233, 0.000462645, 0.891, -2.88961595, -8.74071, -8.74071, -9.81, 0.1, -9.81, 0.7
0.892, 0.004893133, 0.000463146, 0.892, -2.89835666, -8.75052, -8.75052, -9.81, 0.1, -9.81, 0.7
0.893, 0.004897573, 0.000463655, 0.893, -2.90710718, -8.76033, -8.76033, -9.81, 0.1, -9.81, 0.7
0.894, 0.004902973, 0.000464155, 0.894, -2.91586751, -8.77014, -8.77014, -9.81, 0.1, -9.81, 0.7
0.895, 0.004907623, 0.000464665, 0.895, -2.92463765, -8.77995, -8.77995, -9.81, 0.1, -9.81, 0.7
