"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.x","system.fmu.der(x)","system.fmu.k"
0.112, 0.000410909, 3.122e-05, 0.1, 0.9, -0.9, 1
0.113, 0.000414489, 3.148e-05, 0.1, 0.9, -0.9, 1
0.114, 0.000418038, 3.1728e-05, 0.1, 0.9, -0.9, 1
0.115, 0.000421528, 3.1986e-05, 0.1, 0.9, -0.9, 1
0.116, 0.000425098, 3.2246e-05, 0.1, 0.9, -0.9, 1
0.117, 0.000428578, 3.2505e-05, 0.1, 0.9, -0.9, 1
0.118, 0.000432318, 3.2756e-05, 0.1, 0.9, -0.9, 1
0.119, 0.000435878, 3.3006e-05, 0.1, 0.9, -0.9, 1
0.12, 0.000439448, 3.3267e-05, 0.1, 0.9, -0.9, 1
0.121, 0.000442949, 3.3529e-05, 0.1, 0.9, -0.9, 1
0.122, 0.00044649, 3.3799e-05, 0.1, 0.9, -0.9, 1
0.123, 0.0004501, 3.406e-05, 0.1, 0.9, -0.9, 1
0.124, 0.0004537, 3.4319e-05, 0.1, 0.9, -0.9, 1
0.125, 0.00045726, 3.4578e-05, 0.1, 0.9, -0.9, 1
0.126, 0.00046074, 3.4838e-05, 0.1, 0.9, -0.9, 1
0.127, 0.000464371, 3.5089e-05, 0.1, 0.9, -0.9, 1
0.128, 0.000467831, 3.5349e-05, 0.1, 0.9, -0.9, 1
0.129, 0.000471481, 3.5619e-05, 0.1, 0.9, -0.9, 1
0.13, 0.000475091, 3.5879e-05, 0.1, 0.9, -0.9, 1
0.131, 0.000478731, 3.6149e-05, 0.1, 0.9, -0.9, 1
0.132, 0.000482251, 3.6409e-05, 0.1, 0.9, -0.9, 1
0.133, 0.000485931, 3.6669e-05, 0.1, 0.9, -0.9, 1
0.134, 0.000489591, 3.6929e-05, 0.1, 0.9, -0.9, 1
0.135, 0.000493311, 3.7211e-05, 0.1, 0.9, -0.9, 1
0.136, 0.000496812, 3.748e-05, 0.1, 0.9, -0.9, 1
0.137, 0.000500492, 3.7739e-05, 0.1, 0.9, -0.9, 1
0.138, 0.000504172, 3.8e-05, 0.1, 0.9, -0.9, 1
0.139, 0.000507702, 3.8269e-05, 0.1, 0.9, -0.9, 1
0.14, 0.000511312, 3.8521e-05, 0.1, 0.9, -0.9, 1
0.141, 0.000514872, 3.8791e-05, 0.1, 0.9, -0.9, 1
0.142, 0.000518463, 3.9062e-05, 0.1, 0.9, -0.9, 1
0.143, 0.000521943, 3.9323e-05, 0.1, 0.9, -0.9, 1
0.144, 0.000525514, 3.9593e-05, 0.1, 0.9, -0.9, 1
0.145, 0.000528983, 3.9862e-05, 0.1, 0.9, -0.9, 1
0.146, 0.000532592, 4.0132e-05, 0.1, 0.9, -0.9, 1
0.147, 0.000536192, 4.0413e-05, 0.1, 0.9, -0.9, 1
0.148, 0.000539982, 4.0693e-05, 0.1, 0.9, -0.9, 1
0.149, 0.000543482, 4.0943e-05, 0.1, 0.9, -0.9, 1
0.15, 0.000547022, 4.1213e-05, 0.1, 0.9, -0.9, 1
0.151, 0.000550542, 4.1483e-05, 0.1, 0.9, -0.9, 1
0.152, 0.000554052, 4.1753e-05, 0.1, 0.9, -0.9, 1
0.153, 0.000557592, 4.2003e-05, 0.1, 0.9, -0.9, 1
0.154, 0.000561052, 4.2273e-05, 0.1, 0.9, -0.9, 1
0.155, 0.000564612, 4.2533e-05, 0.1, 0.9, -0.9, 1
0.156, 0.000568172, 4.2782e-05, 0.1, 0.9, -0.9, 1
0.157, 0.000571782, 4.3043e-05, 0.1, 0.9, -0.9, 1
0.158, 0.000575342, 4.3293e-05, 0.1, 0.9, -0.9, 1
0.159, 0.000578992, 4.3564e-05, 0.1, 0.9, -0.9, 1
0.16, 0.000582503, 4.3835e-05, 0.1, 0.9, -0.9, 1
0.161, 0.000586084, 4.4095e-05, 0.1, 0.9, -0.9, 1
0.162, 0.000589633, 4.4364e-05, 0.1, 0.9, -0.9, 1
0.163, 0.000593193, 4.4634e-05, 0.1, 0.9, -0.9, 1
0.164, 0.000596602, 4.4892e-05, 0.1, 0.9, -0.9, 1
0.165, 0.000600242, 4.5162e-05, 0.1, 0.9, -0.9, 1
0.166, 0.000603652, 4.542e-05, 0.1, 0.9, -0.9, 1
0.167, 0.000607142, 4.5677e-05, 0.1, 0.9, -0.9, 1
0.168, 0.000610732, 4.5939e-05, 0.1, 0.9, -0.9, 1
0.169, 0.000614172, 4.6189e-05, 0.1, 0.9, -0.9, 1
0.17, 0.000617752, 4.6459e-05, 0.1, 0.9, -0.9, 1
0.171, 0.000621302, 4.6729e-05, 0.1, 0.9, -0.9, 1
0.172, 0.000624832, 4.6979e-05, 0.1, 0.9, -0.9, 1
0.173, 0.000628362, 4.7249e-05, 0.1, 0.9, -0.9, 1
0.174, 0.000631912, 4.7519e-05, 0.1, 0.9, -0.9, 1
0.175, 0.000635502, 4.7789e-05, 0.1, 0.9, -0.9, 1
0.176, 0.000639242, 4.8059e-05, 0.1, 0.9, -0.9, 1
0.177, 0.000645282, 4.8307e-05, 0.1, 0.9, -0.9, 1
0.178, 0.000648913, 4.8577e-05, 0.1, 0.9, -0.9, 1
0.179, 0.000652353, 4.8826e-05, 0.1, 0.9, -0.9, 1
0.18, 0.000655973, 4.9084e-05, 0.1, 0.9, -0.9, 1
0.181, 0.000659583, 4.9345e-05, 0.1, 0.9, -0.9, 1
0.182, 0.000663073, 4.9584e-05, 0.1, 0.9, -0.9, 1
0.183, 0.000666622, 4.9852e-05, 0.1, 0.9, -0.9, 1
0.184, 0.000670093, 5.0102e-05, 0.1, 0.9, -0.9, 1
0.185, 0.000673552, 5.0363e-05, 0.1, 0.9, -0.9, 1
0.186, 0.000677082, 5.0635e-05, 0.1, 0.9, -0.9, 1
0.187, 0.000680522, 5.0894e-05, 0.1, 0.9, -0.9, 1
0.188, 0.000684242, 5.1154e-05, 0.1, 0.9, -0.9, 1
0.189, 0.000687682, 5.1406e-05, 0.1, 0.9, -0.9, 1
0.19, 0.000691122, 5.1656e-05, 0.1, 0.9, -0.9, 1
0.191, 0.000694702, 5.1916e-05, 0.1, 0.9, -0.9, 1
0.192, 0.000698182, 5.2176e-05, 0.1, 0.9, -0.9, 1
0.193, 0.000701712, 5.2436e-05, 0.1, 0.9, -0.9, 1
0.194, 0.000705212, 5.2696e-05, 0.1, 0.9, -0.9, 1
0.195, 0.000708892, 5.2946e-05, 0.1, 0.9, -0.9, 1
0.196, 0.000712372, 5.3206e-05, 0.1, 0.9, -0.9, 1
0.197, 0.000715812, 5.3476e-05, 0.1, 0.9, -0.9, 1
0.198, 0.000719362, 5.3737e-05, 0.1, 0.9, -0.9, 1
0.199, 0.000722823, 5.3998e-05, 0.1, 0.9, -0.9, 1
0.2, 0.000726502, 5.4407e-05, 0.2, 0.81, -0.81, 1
0.201, 0.000730122, 5.4675e-05, 0.2, 0.81, -0.81, 1
0.202, 0.000733692, 5.4935e-05, 0.2, 0.81, -0.81, 1
0.203, 0.000737222, 5.5195e-05, 0.2, 0.81, -0.81, 1
0.204, 0.000740752, 5.5456e-05, 0.2, 0.81, -0.81, 1
0.205, 0.000744303, 5.5717e-05, 0.2, 0.81, -0.81, 1
