"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.x0","system.fmu.der(x0)","system.fmu.x1","system.fmu.der(x1)","system.fmu.mu"
0.116, 0.000557926, 4.6002e-05, 0.11, 1.98993632326, -0.189675159569, -0.189675159569, -1.42852695268, 1
0.117, 0.000562486, 4.6382e-05, 0.11, 1.98993632326, -0.189675159569, -0.189675159569, -1.42852695268, 1
0.118, 0.000566997, 4.6733e-05, 0.11, 1.98993632326, -0.189675159569, -0.189675159569, -1.42852695268, 1
0.119, 0.000571477, 4.7095e-05, 0.11, 1.98993632326, -0.189675159569, -0.189675159569, -1.42852695268, 1
0.12, 0.000576178, 4.7594e-05, 0.12, 1.98803957166, -0.203960429096, -0.203960429096, -1.38588692384, 1
0.121, 0.000580807, 4.7965e-05, 0.12, 1.98803957166, -0.203960429096, -0.203960429096, -1.38588692384, 1
0.122, 0.000585348, 4.8315e-05, 0.12, 1.98803957166, -0.203960429096, -0.203960429096, -1.38588692384, 1
0.123, 0.000589849, 4.8686e-05, 0.12, 1.98803957166, -0.203960429096, -0.203960429096, -1.38588692384, 1
0.124, 0.000594349, 4.9035e-05, 0.12, 1.98803957166, -0.203960429096, -0.203960429096, -1.38588692384, 1
0.125, 0.000598889, 4.9395e-05, 0.12, 1.98803957166, -0.203960429096, -0.203960429096, -1.38588692384, 1
0.126, 0.000603559, 4.9765e-05, 0.12, 1.98803957166, -0.203960429096, -0.203960429096, -1.38588692384, 1
0.127, 0.000608139, 5.0135e-05, 0.12, 1.98803957166, -0.203960429096, -0.203960429096, -1.38588692384, 1
0.128, 0.000615069, 5.0505e-05, 0.12, 1.98803957166, -0.203960429096, -0.203960429096, -1.38588692384, 1
0.129, 0.000619719, 5.0865e-05, 0.12, 1.98803957166, -0.203960429096, -0.203960429096, -1.38588692384, 1
0.13, 0.000624409, 5.1365e-05, 0.13, 1.98599996737, -0.217819298334, -0.217819298334, -1.34469728872, 1
0.131, 0.000628939, 5.1743e-05, 0.13, 1.98599996737, -0.217819298334, -0.217819298334, -1.34469728872, 1
0.132, 0.000633459, 5.2112e-05, 0.13, 1.98599996737, -0.217819298334, -0.217819298334, -1.34469728872, 1
0.133, 0.00063795, 5.2461e-05, 0.13, 1.98599996737, -0.217819298334, -0.217819298334, -1.34469728872, 1
0.134, 0.000642561, 5.2823e-05, 0.13, 1.98599996737, -0.217819298334, -0.217819298334, -1.34469728872, 1
0.135, 0.000647262, 5.3182e-05, 0.13, 1.98599996737, -0.217819298334, -0.217819298334, -1.34469728872, 1
0.136, 0.000651831, 5.3522e-05, 0.13, 1.98599996737, -0.217819298334, -0.217819298334, -1.34469728872, 1
0.137, 0.000656311, 5.3871e-05, 0.13, 1.98599996737, -0.217819298334, -0.217819298334, -1.34469728872, 1
0.138, 0.000660801, 5.4233e-05, 0.13, 1.98599996737, -0.217819298334, -0.217819298334, -1.34469728872, 1
0.139, 0.000665321, 5.4582e-05, 0.13, 1.98599996737, -0.217819298334, -0.217819298334, -1.34469728872, 1
0.14, 0.000669951, 5.5083e-05, 0.14, 1.98382177439, -0.231266271222, -0.231266271222, -1.3049283419, 1
0.141, 0.000674501, 5.5453e-05, 0.14, 1.98382177439, -0.231266271222, -0.231266271222, -1.3049283419, 1
0.142, 0.000679051, 5.5833e-05, 0.14, 1.98382177439, -0.231266271222, -0.231266271222, -1.3049283419, 1
0.143, 0.000683471, 5.6183e-05, 0.14, 1.98382177439, -0.231266271222, -0.231266271222, -1.3049283419, 1
0.144, 0.000687951, 5.6543e-05, 0.14, 1.98382177439, -0.231266271222, -0.231266271222, -1.3049283419, 1
0.145, 0.000692371, 5.6903e-05, 0.14, 1.98382177439, -0.231266271222, -0.231266271222, -1.3049283419, 1
0.146, 0.000696781, 5.7263e-05, 0.14, 1.98382177439, -0.231266271222, -0.231266271222, -1.3049283419, 1
0.147, 0.000701271, 5.7623e-05, 0.14, 1.98382177439, -0.231266271222, -0.231266271222, -1.3049283419, 1
0.148, 0.000705842, 5.7974e-05, 0.14, 1.98382177439, -0.231266271222, -0.231266271222, -1.3049283419, 1
0.149, 0.000710322, 5.8356e-05, 0.14, 1.98382177439, -0.231266271222, -0.231266271222, -1.3049283419, 1
0.15, 0.000714922, 5.8865e-05, 0.15, 1.98150911168, -0.244315554641, -0.244315554641, -1.26654935965, 1
0.151, 0.000719372, 5.9234e-05, 0.15, 1.98150911168, -0.244315554641, -0.244315554641, -1.26654935965, 1
0.152, 0.000723901, 5.9604e-05, 0.15, 1.98150911168, -0.244315554641, -0.244315554641, -1.26654935965, 1
0.153, 0.00072864, 5.9974e-05, 0.15, 1.98150911168, -0.244315554641, -0.244315554641, -1.26654935965, 1
0.154, 0.00073309, 6.0334e-05, 0.15, 1.98150911168, -0.244315554641, -0.244315554641, -1.26654935965, 1
0.155, 0.000737681, 6.0705e-05, 0.15, 1.98150911168, -0.244315554641, -0.244315554641, -1.26654935965, 1
0.156, 0.000742121, 6.1067e-05, 0.15, 1.98150911168, -0.244315554641, -0.244315554641, -1.26654935965, 1
0.157, 0.000746661, 6.1416e-05, 0.15, 1.98150911168, -0.244315554641, -0.244315554641, -1.26654935965, 1
0.158, 0.000751191, 6.1786e-05, 0.15, 1.98150911168, -0.244315554641, -0.244315554641, -1.26654935965, 1
0.159, 0.000755681, 6.2146e-05, 0.15, 1.98150911168, -0.244315554641, -0.244315554641, -1.26654935965, 1
0.16, 0.000760411, 6.2666e-05, 0.16, 1.97906595613, -0.256981048237, -0.256981048237, -1.22952880369, 1
0.161, 0.000764971, 6.3026e-05, 0.16, 1.97906595613, -0.256981048237, -0.256981048237, -1.22952880369, 1
0.162, 0.000769421, 6.3386e-05, 0.16, 1.97906595613, -0.256981048237, -0.256981048237, -1.22952880369, 1
0.163, 0.000773971, 6.3746e-05, 0.16, 1.97906595613, -0.256981048237, -0.256981048237, -1.22952880369, 1
0.164, 0.000778391, 6.4096e-05, 0.16, 1.97906595613, -0.256981048237, -0.256981048237, -1.22952880369, 1
0.165, 0.000782911, 6.4454e-05, 0.16, 1.97906595613, -0.256981048237, -0.256981048237, -1.22952880369, 1
0.166, 0.000787641, 6.4805e-05, 0.16, 1.97906595613, -0.256981048237, -0.256981048237, -1.22952880369, 1
0.167, 0.000792071, 6.5172e-05, 0.16, 1.97906595613, -0.256981048237, -0.256981048237, -1.22952880369, 1
0.168, 0.000798912, 6.5531e-05, 0.16, 1.97906595613, -0.256981048237, -0.256981048237, -1.22952880369, 1
0.169, 0.000803561, 6.589e-05, 0.16, 1.97906595613, -0.256981048237, -0.256981048237, -1.22952880369, 1
0.17, 0.000808241, 6.641e-05, 0.17, 1.97649614565, -0.269276336274, -0.269276336274, -1.19383450734, 1
0.171, 0.000812911, 6.6789e-05, 0.17, 1.97649614565, -0.269276336274, -0.269276336274, -1.19383450734, 1
0.172, 0.000817511, 6.7159e-05, 0.17, 1.97649614565, -0.269276336274, -0.269276336274, -1.19383450734, 1
0.173, 0.00082196, 6.7529e-05, 0.17, 1.97649614565, -0.269276336274, -0.269276336274, -1.19383450734, 1
0.174, 0.00082649, 6.789e-05, 0.17, 1.97649614565, -0.269276336274, -0.269276336274, -1.19383450734, 1
0.175, 0.00083108, 6.825e-05, 0.17, 1.97649614565, -0.269276336274, -0.269276336274, -1.19383450734, 1
0.176, 0.00083564, 6.861e-05, 0.17, 1.97649614565, -0.269276336274, -0.269276336274, -1.19383450734, 1
0.177, 0.00084024, 6.897e-05, 0.17, 1.97649614565, -0.269276336274, -0.269276336274, -1.19383450734, 1
0.178, 0.00084472, 6.933e-05, 0.17, 1.97649614565, -0.269276336274, -0.269276336274, -1.19383450734, 1
0.179, 0.000849189, 6.969e-05, 0.17, 1.97649614565, -0.269276336274, -0.269276336274, -1.19383450734, 1
0.18, 0.000853819, 7.022e-05, 0.18, 1.97380338228, -0.281214681347, -0.281214681347, -1.15943384509, 1
0.181, 0.000858369, 7.0591e-05, 0.18, 1.97380338228, -0.281214681347, -0.281214681347, -1.15943384509, 1
0.182, 0.000862838, 7.0963e-05, 0.18, 1.97380338228, -0.281214681347, -0.281214681347, -1.15943384509, 1
0.183, 0.000867318, 7.1332e-05, 0.18, 1.97380338228, -0.281214681347, -0.281214681347, -1.15943384509, 1
0.184, 0.000871888, 7.1691e-05, 0.18, 1.97380338228, -0.281214681347, -0.281214681347, -1.15943384509, 1
0.185, 0.000876547, 7.2061e-05, 0.18, 1.97380338228, -0.281214681347, -0.281214681347, -1.15943384509, 1
0.186, 0.000880997, 7.2431e-05, 0.18, 1.97380338228, -0.281214681347, -0.281214681347, -1.15943384509, 1
0.187, 0.000885508, 7.2781e-05, 0.18, 1.97380338228, -0.281214681347, -0.281214681347, -1.15943384509, 1
0.188, 0.000889928, 7.3139e-05, 0.18, 1.97380338228, -0.281214681347, -0.281214681347, -1.15943384509, 1
